stratum,repo,prA,prB,agentA,agentB,label,n_files,files,types
cross,reeze/php-leveldb,52,54,OpenAI_Codex,Devin,CLEAN,0,,
cross,RSamaium/CanvasEngine,40,46,OpenAI_Codex,Cursor,CONFLICT,1,packages/core/src/components/index.ts,content
cross,OpenSprinkler/OpenSprinkler-App,250,251,Copilot,OpenAI_Codex,CLEAN,0,,
cross,bmander/graphserver,32,34,Copilot,OpenAI_Codex,CLEAN,0,,
cross,rsyslog/rsyslog,5688,5793,OpenAI_Codex,Cursor,CONFLICT,1,plugins/omazureeventhubs/omazureeventhubs.c,content
cross,EduMIPS64/edumips64,1364,1378,Copilot,OpenAI_Codex,CLEAN,0,,
cross,devitocodes/devito,2625,2682,OpenAI_Codex,Copilot,CLEAN,0,,
cross,vercel/vercel,13444,13578,Devin,Cursor,CLEAN,0,,
cross,bcherny/json-schema-to-typescript,658,663,OpenAI_Codex,Cursor,CLEAN,0,,
cross,sakaiproject/sakai,13751,13874,OpenAI_Codex,Cursor,CLEAN,0,,
cross,benwbrum/fromthepage,4696,4750,OpenAI_Codex,Copilot,CLEAN,0,,
cross,vercel/hyper-site,314,315,OpenAI_Codex,Devin,CONFLICT,4,app/layout.js|app/page.js|next.config.js|package.json,add/add|add/add|content|content
cross,OHIF/Viewers,4958,5097,Devin,OpenAI_Codex,CONFLICT,1,extensions/dicom-video/src/getSopClassHandlerModule.js,content
cross,pytorch/pytorch,155658,157447,OpenAI_Codex,Copilot,UNAVAIL_nobase,0,,
cross,elsa-workflows/elsa-core,6669,6675,OpenAI_Codex,Copilot,CLEAN,0,,
cross,shopware/shopware,10496,11072,Claude_Code,Copilot,CONFLICT,1,src/Core/System/Language/LanguageExceptionHandler.php,content
cross,superfly/flyctl,4456,4463,OpenAI_Codex,Claude_Code,CONFLICT,1,internal/appconfig/config.go,content
cross,go-vikunja/vikunja,945,1154,OpenAI_Codex,Copilot,CLEAN,0,,
cross,ray-project/ray,53690,54238,OpenAI_Codex,Cursor,CLEAN,0,,
cross,mautic/mautic,15078,15249,Claude_Code,Copilot,CONFLICT,1,app/bundles/LeadBundle/Form/Type/CampaignEventLeadFieldValueType.php,content
cross,celestiaorg/celestia-core,1902,2046,Copilot,OpenAI_Codex,CLEAN,0,,
cross,Rello/analytics,517,518,OpenAI_Codex,Copilot,CONFLICT,1,CHANGELOG.md,content
cross,gofiber/fiber,3508,3582,OpenAI_Codex,Copilot,CLEAN,0,,
cross,yytypescript/book,981,987,OpenAI_Codex,Devin,CLEAN,0,,
cross,kingstinct/react-native-healthkit,183,184,Copilot,OpenAI_Codex,CLEAN,0,,
cross,specmatic/specmatic,1924,1947,Copilot,OpenAI_Codex,CLEAN,0,,
cross,nrwl/nx,31591,32088,OpenAI_Codex,Claude_Code,CLEAN,0,,
cross,tokens-studio/figma-plugin,3366,3391,Copilot,Cursor,CONFLICT,1,packages/tokens-studio-for-figma/src/app/components/AppContainer/startupProcessSteps/pullTokensFactory.ts,content
cross,microsoft/playwright,36050,36366,Copilot,OpenAI_Codex,CLEAN,0,,
cross,johnlindquist/kit,1589,1590,Cursor,OpenAI_Codex,CLEAN,0,,
cross,huggingface/huggingface_hub,3106,3108,OpenAI_Codex,Copilot,CLEAN,0,,
cross,Skyscanner/turbolift,173,176,OpenAI_Codex,Copilot,CLEAN,0,,
cross,YunaiV/ruoyi-vue-pro,906,907,Cursor,Copilot,CLEAN,0,,
cross,tldraw/tldraw,6214,6284,OpenAI_Codex,Cursor,CLEAN,0,,
cross,mlflow/mlflow,16057,16442,Copilot,Claude_Code,CONFLICT,1,tests/entities/test_assessment.py,content
cross,liveblocks/liveblocks,2522,2523,Devin,Cursor,CLEAN,0,,
cross,faros-ai/airbyte-connectors,2142,2143,Copilot,Devin,UNAVAIL_fetch,0,,
cross,novuhq/novu,8441,8443,Devin,Cursor,CLEAN,0,,
cross,onflow/flow-go,7551,7555,OpenAI_Codex,Devin,CONFLICT,13,engine/collection/synchronization/engine_test.go|engine/collection/synchronization/request_handler.go|engine/common/synchronization/engine_test.go|engine/common/synchronization/request_handler.go|model/messages/collection.go|model/messages/consensus.go|model/messages/convert_test.go|model/messages/dkg.go|model/messages/exchange.go|model/messages/execution.go|model/messages/synchronization.go|model/messages/verification.go|network/codec/roundTripHeader_test.go,content|content|content|content|content|content|content|content|content|content|content|content|content
cross,softmaple/softmaple,244,246,Devin,OpenAI_Codex,CONFLICT,1,packages/editor/tsconfig.app.json,content
cross,ElectNewt/Distribt,44,48,OpenAI_Codex,Copilot,CLEAN,0,,
cross,skypilot-org/skypilot,5796,6067,OpenAI_Codex,Cursor,CLEAN,0,,
cross,airbytehq/airbyte,61490,61695,Devin,OpenAI_Codex,UNAVAIL_nobase,0,,
cross,PRQL/prql,5286,5287,Claude_Code,OpenAI_Codex,CLEAN,0,,
cross,manifoldmarkets/manifold,3582,3599,OpenAI_Codex,Cursor,CLEAN,0,,
